word,noun,verb,adverb,adjective,other,frequency
ab,1,0,0,0,0,15.847542
act,1,1,0,0,0,305.339623
acts,1,0,0,0,0,91.947456
ad,1,0,0,0,0,54.263687
adz,1,0,0,0,0,0.080336
aft,0,0,1,0,0,4.278047
al,1,0,0,0,0,509.944009
alf,1,0,0,0,0,1.356109
am,1,0,0,0,0,309.022217
an,1,0,0,0,0,57.525509
ant,1,0,0,0,0,7.277300
apt,0,0,0,1,0,15.042686
ash,1,0,0,0,0,14.608644
ask,0,1,0,0,0,171.302969
asp,1,0,0,0,0,3.390065
ast,1,0,0,0,0,1.363124
at,1,0,0,0,0,5223.665657
ax,1,0,0,0,0,4.536841
bab,1,0,0,0,0,1.038034
back,0,0,1,0,0,730.173747
bad,0,0,0,1,0,147.158670
bag,1,0,0,0,0,36.348033
bal,1,0,0,1,0,2.204443
bam,1,0,0,0,0,1.251555
ban,1,1,0,0,0,12.557377
band,1,0,0,0,0,66.323063
bang,1,0,0,0,0,6.513506
bank,1,0,0,0,0,142.902657
bash,1,1,0,0,0,0.975839
bask,0,1,0,0,0,0.721521
bast,1,0,0,0,0,0.732048
bat,1,0,0,0,0,10.720858
bath,1,0,0,0,0,26.618288
bats,0,0,0,1,0,4.147116
beck,1,0,0,0,0,7.872528
bed,1,0,0,0,0,129.681510
beg,0,1,0,0,0,12.353941
bel,1,0,0,0,0,2.487531
belch,1,1,0,0,0,0.410275
belt,1,0,0,0,0,24.632153
ben,1,0,0,0,0,31.690563
bend,1,1,0,0,0,15.954419
bent,1,0,0,1,0,28.888103
best,0,0,0,1,0,376.187142
bet,1,1,0,0,0,16.957358
beth,1,0,0,0,0,8.129192
bib,1,0,0,0,0,1.084557
bick,1,0,0,0,0,0.204050
bid,1,1,0,0,0,17.158844
big,0,0,0,1,0,189.012514
bilk,0,1,0,0,0,0.100366
bin,1,0,0,0,0,10.993614
bing,1,1,0,0,0,1.536617
bink,1,0,0,0,0,0.072536
bis,1,0,0,0,0,5.924835
bit,1,0,0,0,0,104.597275
biz,1,0,0,0,0,0.529343
black,1,0,0,1,0,311.206785
blan,1,0,0,0,0,0.048202
bland,0,0,0,1,0,4.241709
blank,1,0,0,1,0,22.520742
blast,1,0,0,0,0,11.316451
bleck,1,0,0,0,0,0.067486
blend,1,1,0,0,0,10.589670
blest,0,0,0,1,0,1.184341
blick,1,0,0,0,0,0.342960
blimp,1,0,0,0,0,0.278171
blink,1,1,0,0,0,2.555895
blinks,1,0,0,0,0,0.511993
blip,1,0,0,0,0,0.383509
blob,1,0,0,0,0,0.946952
bloc,1,0,0,0,0,7.683294
block,1,0,0,0,0,82.781372
blot,1,1,0,0,0,3.315261
blunk,1,0,0,0,0,0.018693
blunt,0,0,0,1,0,8.400239
blush,1,1,0,0,0,3.574793
bob,1,0,0,0,0,27.740683
bock,1,0,0,0,0,1.389688
bog,1,0,0,0,0,2.825146
bom,1,1,0,1,0,5.743853
bon,1,0,0,0,0,3.719771
bond,1,0,0,0,0,46.305951
bong,0,1,0,0,0,0.541214
bonk,0,1,0,0,0,0.156229
bop,1,0,0,0,0,0.841000
bos,1,0,0,0,0,1.326281
bosh,1,0,0,0,0,0.218416
brach,1,0,0,0,0,0.107918
brack,1,0,0,0,0,0.383976
brad,1,0,0,0,0,4.012284
